ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Medal,NOC,region
974,Nils August Domingo Adlercreutz,M,45,NA,NA,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Equestrianism,Gold,SWE,Sweden
975,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),F,39,NA,NA,Sweden,SWE,1908 Summer,1908,Summer,London,Tennis,Bronze,SWE,Sweden
977,Erik William Adlerz,M,19,NA,NA,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Gold,SWE,Sweden
977,Erik William Adlerz,M,19,NA,NA,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Gold,SWE,Sweden
977,Erik William Adlerz,M,27,NA,NA,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Diving,Silver,SWE,Sweden
980,"Rebecca Becky"""" Adlington""""",F,19,179,70,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Gold,GBR,UK
980,"Rebecca Becky"""" Adlington""""",F,19,179,70,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Gold,GBR,UK
980,"Rebecca Becky"""" Adlington""""",F,23,179,70,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Bronze,GBR,UK
980,"Rebecca Becky"""" Adlington""""",F,23,179,70,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Bronze,GBR,UK
1000,Dainius Adomaitis,M,26,202,100,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Basketball,Bronze,LTU,Lithuania
1017,Nathan Ghar-Jun Adrian,M,19,198,100,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Gold,USA,USA
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,USA,2012 Summer,2012,Summer,London,Swimming,Gold,USA,USA
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,USA,2012 Summer,2012,Summer,London,Swimming,Silver,USA,USA
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,USA,2012 Summer,2012,Summer,London,Swimming,Gold,USA,USA
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Bronze,USA,USA
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Bronze,USA,USA
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Gold,USA,USA
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Gold,USA,USA
1020,Adriana Aparecida dos Santos,F,25,180,61,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Silver,BRA,Brazil
1020,Adriana Aparecida dos Santos,F,29,180,61,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Bronze,BRA,Brazil
1023,"Adriana Adrianinha"""" Moiss Pinto""""",F,21,170,65,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Bronze,BRA,Brazil
1025,Attila Adrovicz,M,30,189,87,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,Silver,HUN,Hungary
1046,Klaus Aeffke,M,24,189,82,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Silver,GER,Germany
1071,Kseniya Dmitriyevna Afanasyeva,F,20,158,48,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Silver,RUS,Russia
1088,"Olabisi Bisi"""" Afolabi""""",F,20,180,62,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Silver,NGR,Nigeria
1094,Felicia Afrsiloaie (-Jitianu),F,22,178,70,Romania,ROU,1976 Summer,1976,Summer,Montreal,Rowing,Bronze,ROU,Romania
1095,Cecil Sebastian Afrika,M,28,175,75,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Bronze,RSA,South Africa
1104,Muhammad Afzal Manna,M,25,173,76,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Silver,PAK,Pakistan
1107,"Timothy Ernest Victor Kwizera Tim"""" Agaba""""",M,27,193,104,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Bronze,RSA,South Africa
1109,Lavinia Agache (-Carney),F,16,148,40,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gold,ROU,Romania
