Name,Team,Sport,num_medals,Gold_Medals,Silver_Medals,Bronze_Medals
"Elena Georgescu-Nedelcu",Romania,Rowing,5,3,1,1
"Gina Elena Gogean (-Groza)",Romania,Gymnastics,5,0,2,3
"Galina Yevgenyevna Gorokhova","Soviet Union",Fencing,5,3,1,1
"Shane Elizabeth Gould (-Innis  -Nelms)",Australia,Swimming,5,3,1,1
"Torben Schmidt Grael",Brazil,Sailing,5,2,1,2
"Katherine Jane Grainger","Great Britain",Rowing,5,1,4,0
"Delorez Florence Griffith Joyner","United States",Athletics,5,3,2,0
"Yevgeny Romanovich Grishin","Soviet Union","Speed Skating",5,4,1,0
"Mariya Zdravkova Grozdeva (Grigorova-)",Bulgaria,Shooting,5,2,0,3
"Harald Grnningen",Norway,"Cross Country Skiing",5,2,3,0
"Erzsbet Gulys-Kteles",Hungary,Gymnastics,5,1,3,1
"Koji Gushiken",Japan,Gymnastics,5,2,1,2
"Dezs Gyarmati",Hungary,"Water Polo",5,3,1,1
"Chad Paul Hedrick","United States","Speed Skating",5,1,2,2
"Jayna Hefford",Canada,"Ice Hockey",5,4,1,0
"Anton Heida","United States",Gymnastics,5,4,1,0
"Eric Arthur Heiden","United States","Speed Skating",5,5,0,0
"Jan Margo Henne (-Hawkins)","United States",Swimming,5,3,1,1
"Anders Sren Holmertz (Johansson-)",Sweden,Swimming,5,0,4,1
"Mary Lou Retton (-Kelley)","United States",Gymnastics,5,1,2,2
"Michael Reusch",Switzerland,Gymnastics,5,1,4,0
"Sanya Richards-Ross","United States",Athletics,5,4,0,1
"Aleksandr Anatolyevich Romankov","Soviet Union",Fencing,5,1,2,2
"Svetlana Alekseyevna Romashina",Russia,"Synchronized Swimming",5,5,0,0
"Antonio Rossi",Italy,Canoeing,5,3,1,1
