Name,Team,Sport,num_medals
"Francis Henriquez de Zubira","Racing Club de France",Tug-Of-War,1
"Desiree Latifah N. Henry","Great Britain",Athletics,1
"George Ernest Morrison Henry",Australia,Swimming,1
"Guy Vernor Henry, Jr.","United States",Equestrianism,1
"James Edward "Jim"" Henry"","United States",Diving,1
"Kenneth Charles "Ken"" Henry"","United States","Speed Skating",1
"Ludi "Lea"" Henry (-Manning)"","United States",Basketball,1
"William Henry","Osborne Swimming Club, Manchester","Water Polo",1
"William Henry","Great Britain",Swimming,1
"Samantha Henry-Robinson",Jamaica,Athletics,1
"Pascal Hens",Germany,Handball,1
"Alfred Hensel",Germany,"Art Competitions",1
"Gillian "Jill"" Henselwood"",Canada,Equestrianism,1
"Josiah "Joe"" Henson"","United States",Wrestling,1
"Samuel "Sammie"" Henson"","United States",Wrestling,1
"Franziska Constanze Hentschel (-Sanner)",Germany,Hockey,1
"Jukka Mika Petteri Hentunen",Finland,"Ice Hockey",1
"Stefan Henze",Germany-1,Canoeing,1
"Heo Yeong-Suk","South Korea",Handball,1
"Uwe Heppner","East Germany",Rowing,1
"William Sharp Hannah "Billy"" Herald"",Australia,Swimming,1
"Maxi Herber (-Baier)",Germany-1,"Figure Skating",1
"Garry Gerard Paul Herbert","Great Britain",Rowing,1
"Johannes Friedrich Herbert",Germany,Wrestling,1
"Llewellyn George Herbert","South Africa",Athletics,1
"Brian A. Herbinson",Canada,Equestrianism,1
"Christine Herbst (-Paulick)","East Germany",Swimming,1
"Reinfried Herbst",Austria,"Alpine Skiing",1
"Claudette "Claudie"" Herbster-Josland"",France,Fencing,1
"Istvn Herczeg",Hungary,Gymnastics,1
"Jozef Herda",Czechoslovakia,Wrestling,1
"Sonia Isabel Heredia",Peru,Volleyball,1
"Sabrina Hering",Germany,Canoeing,1
"Virginie Claire Dsire Marie Hriot","L'Aile VI",Sailing,1
"Erland Franz Herkenrath",Switzerland,Handball,1
"Erich Otto Friedrich Herker",Germany,"Ice Hockey",1
"Hans Christian Herlak (Jensen-)",Denmark,Hockey,1
"Douglas John "Doug"" Herland"","United States",Rowing,1
"Jan Hemnek",Czechoslovakia,Boxing,1
"William John "Bill"" Hermann"","United States",Gymnastics,1
"Helmer Hermansen",Norway,Shooting,1
"Jos Antonio Hermida Ramos",Spain,Cycling,1
"Anaisis Hernndez Sarria",Cuba,Judo,1
"Fernando Hernndez Casado",Spain,Handball,1
"Ismael Marcelo Hernndez Uscanga",Mexico,"Modern Pentathlon",1
"Jorge Hernndez Padrn",Cuba,Boxing,1
"Miguel Hernndez Snchez",Spain,Football,1
"Nico Miguel Hernandez","United States",Boxing,1
"No Hernndez Valentn",Mexico,Athletics,1
"Orlando Hernndez Pedroso",Cuba,Baseball,1
"Roberto Hernndez Prendes",Cuba,Athletics,1
"Silvio Hernndez del Valle",Mexico,Basketball,1
"Stefany del Carmen Hernndez Mendoza",Venezuela,Cycling,1
"Yampier Hernndez Gonzales",Cuba,Boxing,1
"Juan Bautista Hernndez Prez",Cuba,Boxing,1
"Anderson Hernanes de Carvalho Andrade Lima",Brazil,Football,1
"Guillermo Gustavo "Willy"" Hernangmez Geuer"",Spain,Basketball,1
"Istvn Hernek",Hungary,Canoeing,1
"Jens-Peter Herold","East Germany",Athletics,1
"Eladio Oscar Herrera",Argentina,Boxing,1
"Hctor Herrera Ortz",Cuba,Athletics,1
"Hctor Miguel Herrera Lpez",Mexico,Football,1
"Pablo Herrera Allepuz",Spain,"Beach Volleyball",1
"Ruperto Herrera Tabio",Cuba,Basketball,1
"Toms Herrera Martnez",Cuba,Basketball,1
"Horace "Hank"" Herring"","United States",Boxing,1
"Maurice Herriott","Great Britain",Athletics,1
"Bernhard Erich "Bernd"" Herrmann"","West Germany",Athletics,1
"Denise Herrmann",Germany,"Cross Country Skiing",1
"Erich Herrmann",Germany,Handball,1
"Walter Herrmann",Argentina,Basketball,1
"Hugo Herrnhof",Italy,"Short Track Speed Skating",1
"Steen Steensen Herschend","Nurdug II",Sailing,1
"Nicole Herschmann",Germany-2,Bobsleigh,1
"Otto Herschmann",Austria,Swimming,1
"Otto Herschmann",Austria,Fencing,1
"Thomas Alan "Tom"" Herschmiller"",Canada,Rowing,1
"Montgomery Hart "Moe"" Herscovitch"",Canada,Boxing,1
"Erik Johan Herseth",Eleda,Sailing,1
"Magnus "Max"" Herseth"","Ormsund Roklub-2",Rowing,1
"Albert mile Reneld Hersoy",France,Gymnastics,1
"Hjalmar Herup",Denmark,Football,1
"Timm Herzbruch",Germany,Hockey,1
"Sabine He (-Schubert)","East Germany",Rowing,1
"Erika Hess (-Reymond)",Switzerland,"Alpine Skiing",1
"Max Hess","Philadelphia Turngemeinde, Philadelphia",Gymnastics,1
"Mats Gunnar Hessel",Sweden,"Ice Hockey",1
"Michael Steven "Mike"" Hessman"","United States",Baseball,1
"Urban Hettich","West Germany","Nordic Combined",1
"Amy Hetzel",Australia,"Water Polo",1
"Gaston Heuet",France,Athletics,1
"James Frederic "Jimmy"" Heuga"","United States","Alpine Skiing",1
"Olaf Heukrodt",Germany,Canoeing,1
"Patrick Heuscher",Switzerland-2,"Beach Volleyball",1
"Jrgen Heuser","East Germany",Weightlifting,1
"Harold Neil Hewitt",Australia,Rowing,1
"Jessica Hewitt",Canada,"Short Track Speed Skating",1
"Ilse Heylen (-Berghmans)",Belgium,Judo,1
"Bengt Heyman","Sans Atout-1",Sailing,1
"Aribert Joachim Leonard Heymann",Germany,Hockey,1
"Delphyne Heymann-Burlet",France,Biathlon,1
"Thomas Edward "Ted"" Hibberd"",Canada,"Ice Hockey",1
"Frederick Newton Hibbins","Great Britain",Athletics,1
"Bruce Samuel Hick",Australia,Rowing,1
"John Joseph "Jack"" Hickey"",Australasia,Rugby,1
"Mark Christopher Hickman",Australia,Hockey,1
"Thomas A. "Tom"" Hicks"","United States-1",Bobsleigh,1
"Thomas John "Tom"" Hicks"","United States",Athletics,1
"Taufik Hidayat",Indonesia,Badminton,1
"Nndor Hidegkuti",Hungary,Football,1
"Coenraad Christiaan Hiebendaal","Minerva Amsterdam",Rowing,1
"Ulf Hielscher",Germany-1,Bobsleigh,1
"Juuso Hietanen",Finland,"Ice Hockey",1
"Francis Cecil Higgins",England-1,Cycling,1
"Francis Peter Higgins","Great Britain",Athletics,1
"Yvette Higgins",Australia,"Water Polo",1
"Allison Ann Higson (-Cavanaugh)",Canada,Swimming,1
"Rei Higuchi",Japan,Wrestling,1
"Jenni Hiirikoski",Finland,"Ice Hockey",1
"Tom Andr Hilde",Norway,"Ski Jumping",1
"Lloyd Augustin Biden Hildebrand","Great Britain",Cycling,1
"Klaus-Peter Hildenbrand","West Germany",Athletics,1
"Paul-Peter Hildgartner",Italy-1,Luge,1
"Michael Hilgers","West Germany",Hockey,1
"Michael Hilgers",Germany,Hockey,1
"Alexander "Alex"" Hill"",Australia,Rowing,1
"Arthur Edwin Hill","Great Britain","Water Polo",1
"Albert Edwin "Bertie"" Hill"","Great Britain",Equestrianism,1
"Clarence Hill",Bermuda,Boxing,1
"Clinton Rory Hill",Australia,Athletics,1
"Darryn William Hill",Australia,Cycling,1
"Grant Henry Hill","United States",Basketball,1
"Harold Heaton "Harry"" Hill"","Great Britain",Cycling,1
"James Enoch "Jim"" Hill"","United States",Shooting,1
"Joanne Kay "Jo"" Hill"",Australia,Basketball,1
"Kimberly "Kim"" Hill"","United States",Volleyball,1
"Ralph Anthony Hill","United States",Athletics,1
"Samantha "Sami"" Hill"","United States","Water Polo",1
"Thomas Lionel "Tom"" Hill"","United States",Athletics,1
"Virgil Eugene Hill","United States",Boxing,1
"Beatrice Geraldine Hill-Lowe (Ruxton-, -Thompson)","Great Britain",Archery,1
"Lorraine Mary Hillas (Wharton-)",Australia,Hockey,1
"Francisca Elisabeth Maria "Elsemieke"" Hillen (-Havenga)"",Netherlands,Hockey,1
"Elof Fritjof Valentin "Fritte"" Hilln"",Sweden,Football,1
"Brent William Hilliard","United States",Volleyball,1
"Ralph Gorman Hills","United States",Athletics,1
"George Whiteside Hillyard","Great Britain-1",Tennis,1
"Hilma Aparecida Caldeira",Brazil,Volleyball,1
"Elisabeth Hilmo",Norway,Handball,1
"Gerhard Himmel","West Germany",Wrestling,1
"Cornelis Nicolaas Hin","Beatrijs III-1",Sailing,1
"Franciscus Fidelio Joseph "Frans"" Hin"","Beatrijs III-1",Sailing,1
"Johannes Jozef Antonius "Johan"" Hin"","Beatrijs III-1",Sailing,1
"Andrew Jay "A. J."" Hinch"","United States",Baseball,1
"Madeline Clare "Maddie"" Hinch"","Great Britain",Hockey,1
"Arthur Charles Hind",India,Hockey,1
"William Robert Norris Hinde","Great Britain",Polo,1
"Martin Leonard Hindorff",Bissbi,Sailing,1
"Martin Leonard Hindorff","May Be",Sailing,1
"Martin Leonard Hindorff","Ali-Baba II",Sailing,1
"Silvia Hindorff (-Hafemeister)","East Germany",Gymnastics,1
"Sidney Rae "Sid"" Hinds"","United States",Shooting,1
"Sterling Dale Hinds",Canada,Athletics,1
"Lyman Northrop Hine","United States-1",Bobsleigh,1
"Bryan Hines","United States",Wrestling,1
"Garrett Hines","United States-1",Bobsleigh,1
"Martina Hingis (-Hutin)",Switzerland,Tennis,1
"Jrgen Hingsen","West Germany",Athletics,1
"Martin Hinterstocker, Sr.","West Germany","Ice Hockey",1
"Gabriele Hinzmann (Trepscheck-)","East Germany",Athletics,1
"Karl Hipfinger",Austria,Weightlifting,1
"Jaime Elizabeth Hipp (-Komer)","United States","Water Polo",1
"Kazumasa Hirai",Japan,Weightlifting,1
"Koichi Hirakida",Japan,Swimming,1
"Ayumu Hirano",Japan,Snowboarding,1
"Sayaka Hirano",Japan,"Table Tennis",1
"Hiroaki Hiraoka",Japan,Judo,1
"Taku Hiraoka",Japan,Snowboarding,1
"Noritoshi Hirata",Japan,Gymnastics,1
"Norie Hiro",Japan,Volleyball,1
"William Hirons","London City Police-1",Tug-Of-War,1
"Megu Hirose",Japan,Softball,1
"Miyoko Hirose",Japan,Volleyball,1
"Corey Hirsch",Canada,"Ice Hockey",1
"Konrad Emanuel Nikolaus Hirsch",Sweden,Football,1
"Marcel Hirscher",Austria,"Alpine Skiing",1
"Emil Hirschfeld",Germany,Athletics,1
"Egbert Hirschfelder",Germany,Rowing,1
"Egbert Hirschfelder","West Germany",Rowing,1
"Jobst Hirscht","West Germany",Athletics,1
"Juha Petter Hirvi",Finland,Shooting,1
"Heikki Hirvonen",Finland,"Military Ski Patrol",1
"Salah Hissou",Morocco,Athletics,1
"Sophie Hitchon","Great Britain",Athletics,1
"Kinue Hitomi",Japan,Athletics,1
"Michael "Mike"" Hixon"","United States",Diving,1
"Niklas Sivert Hjalmarsson",Sweden,"Ice Hockey",1
"Andrea Hlavkov","Czech Republic-1",Tennis,1
"V'iacheslav Valeriyovych Hlazkov",Ukraine,Boxing,1
"Tetiana Hryhorivna Hlushchenko (-Lapshynova)","Soviet Union",Handball,1
"Todd Bradley Hlushko",Canada,"Ice Hockey",1
"Emin hmdov",Azerbaijan,Wrestling,1
"Milan Hnilika","Czech Republic","Ice Hockey",1
"Ho Bong-Chol","North Korea",Weightlifting,1
"Charles Monroe "Charlie"" Hoag"","United States",Basketball,1
"Hong Anh Tun",Vietnam,Weightlifting,1
"Gordon Rahere Hoare","Great Britain",Football,1
"William Barton Roger "Bill"" Hobbs"","United States",Rowing,1
"Franklin Warren Hobbs, IV","United States",Rowing,1
"Herbert Hobein",Germany,Hockey,1
"Valeriy Hryhorovych Hoborov","Soviet Union",Basketball,1
"Yves Hocd",France,Rowing,1
"Adolf Hoch",Austria,"Art Competitions",1
"Maurice Louis Hochepied","Tritons Lillois-2",Swimming,1
"Victor Fernand Hochepied","Tritons Lillois-2",Swimming,1
"Dorothea "Thea"" Hochleitner (Seer-)"",Austria,"Alpine Skiing",1
"Erik Hochstein","West Germany",Swimming,1
"Stefan Hck","West Germany",Biathlon,1
"Stephan Hocke",Germany,"Ski Jumping",1
"Gunnar Mikael Hckert",Finland,Athletics,1
"Robin Godfrey Hodder",Australia,Hockey,1
"Daniel Allen "Dan"" Hodge"","United States",Wrestling,1
"Megan Hodge","United States",Volleyball,1
"Samuel Ernest Hodgetts","Great Britain",Gymnastics,1
"Natalie Hodgskin (-Shapiro)",Australia,Softball,1
"Imre Hdos",Hungary,Wrestling,1
"Sndor Hdosi",Hungary,Canoeing,1
"Horst Hoeck",Germany,Rowing,1
"Paulus Joan "Paul"" Hoekstra"",Netherlands,Canoeing,1
"Georges Auguste Charles Hol",France,Gymnastics,1
"Peter Hoeltzenbein",Germany,Rowing,1
"Ilja Mohandas "Andy"" Hoepelman"",Netherlands,"Water Polo",1
"Richard Harris Hoepfner","United States",Sailing,1
"Lukas Hofer",Italy,Biathlon,1
"Karen Hoff",Denmark,Canoeing,1
"Aleksandr Vladimirovich Povetkin",Russia,Boxing,1
"Olesia Ivanivna Povkh",Ukraine,Athletics,1
"Asafa Kehine Powell",Jamaica,Athletics,1
"Caroline Helen Powell","New Zealand",Equestrianism,1
"Eric Walter Powell","Cambridge University Boat Club-2",Rowing,1
"Charles Frederick Power",Ireland-2,Hockey,1
"David William "Dave"" Power"",Australia,Athletics,1
"Jeffrey Brian "Jeffy"" Powers"","United States","Water Polo",1
"Patrick Robert "Pat"" Powers"","United States",Volleyball,1
"Alfred James Powlesland","Devon and Somerset Wanderers",Cricket,1
"Siegfried Powolny",Austria,Handball,1
"Stanislav Alekseyevich Pozdnyakov","Unified Team",Fencing,1
"Vyacheslav Vladimirovich Pozdnyakov",Russia,Fencing,1
"Anastasiya Yuryevna Pozdnyakova",Russia,Diving,1
"Danas Pozniakas","Soviet Union",Boxing,1
"Gianmarco Pozzecco",Italy,Basketball,1
"Eva-Maria Pracht (Neckermann-)",Canada,Equestrianism,1
"Ricardo Prado",Brazil,Swimming,1
"Suriya Prasathinphimai",Thailand,Boxing,1
"Brooke Pratley",Australia,Rowing,1
"Charles Edward "Ned"" Pratt"",Canada,Rowing,1
"Henri Camille Praux",France,Rowing,1
"Mark Precious","Great Britain",Hockey,1
"Marlena Predescu-Zagoni",Romania,Rowing,1
"Vladimir Viktorovich Predkin",Russia,Swimming,1
"Baldur Preiml",Austria,"Ski Jumping",1
"Uwe Preiler","East Germany",Cycling,1
"Yaw Preko",Ghana,Football,1
"Marie-Hlne Prmont",Canada,Cycling,1
"Danijel Premu",Italy,"Water Polo",1
"Josh Prenot","United States",Swimming,1
"Nina Illivna Preobrazhenska (-Antoniuk)","Soviet Union",Rowing,1
"Maria Claudia Prescan",Romania,Gymnastics,1
"Nicholas Presciutti",Italy,"Water Polo",1
"Bojan Preern",Yugoslavia,Rowing,1
"Donald Wayne Pretty",Canada,Rowing,1
"Robert Albert Preu",Germany,Shooting,1
"Jean Marie Andr Prvost",France-1,Tennis,1
"Miroslav Pribani",Yugoslavia,Handball,1
"Jozef Pribilinec",Czechoslovakia,Athletics,1
"Carey Price",Canada,"Ice Hockey",1
"David Price","Great Britain",Boxing,1
"John Wesley Price",Comanche,Sailing,1
"Olivia Price",Australia,Sailing,1
"Thomas Steele "Tom"" Price"","United States",Rowing,1
"Reginald George "Reggie"" Pridmore"",England-1,Hockey,1
"Haig "Harry"" Prieste (Keshishian-)"","United States",Diving,1
"Carlos Prieto Martos",Spain,Handball,1
"Pablo Prigioni",Argentina,Basketball,1
"Gennady Sergeyevich Prigoda","Unified Team",Swimming,1
"Zoran Primorac",Yugoslavia,"Table Tennis",1
"Nichelle Prince",Canada,Football,1
"Tayshaun Durell Prince","United States",Basketball,1
"David Prinosil",Germany,Tennis,1
"Christine Seraphine "Chris"" Prinsloo"",Zimbabwe,Hockey,1
"Lucinda Jane Prior-Palmer-Green","Great Britain",Equestrianism,1
"Yury Ivanovich Prisekin","Soviet Union",Swimming,1
"John Martin Pritchard","Great Britain",Rowing,1
"Michelle Probert-Scutt","Great Britain",Athletics,1
"Paul Probst",Switzerland,Shooting,1
"Antonn Prochzka",Czechoslovakia,Volleyball,1
"Frantiek Prochzka",Czechoslovakia,"Ice Hockey",1
"Libor Prochzka","Czech Republic","Ice Hockey",1
"Martin Prochzka","Czech Republic","Ice Hockey",1
"Robert "Bob"" Proctor"",Australia,Hockey,1
"Henry Arthur Proctor","United States",Rowing,1
"Martina Proeber (-Littmann)","East Germany",Diving,1
"Werner Proft",Germany,Hockey,1
"Lyudmila Vyacheslavovna Prokashova",Kazakhstan,"Speed Skating",1
"Vitaly Viktorovich Prokhorov","Unified Team","Ice Hockey",1
"Yelena Vladimirovna Prokhorova",Russia,Athletics,1
"Andrey Vasilyevich Prokofyev","Soviet Union",Athletics,1
"Yekaterina Valeryevna Prokofyeva",Russia,"Water Polo",1
"Yelena Gennadyevna Prokofyeva",Russia,"Synchronized Swimming",1
"Aleksandr Timofeyevich Prokopenko","Soviet Union",Football,1
"Heorhiy Yakovych Prokopenko","Soviet Union",Swimming,1
"Valentin Ivanovich Prokopov","Soviet Union","Water Polo",1
"Sndor (Alexander) Prokopp",Hungary,Shooting,1
"Naum Prokupets","Soviet Union",Canoeing,1
"Grischa Prmel",Germany,Football,1
"Uwe Gerhard Proske",Germany,Fencing,1
"Vclav Prospal","Czech Republic","Ice Hockey",1
"Gilbert Prouteau",France,"Art Competitions",1
"Marie Prouvensier",France,Handball,1
"Yanina Dislavovna Provalinskaya-Karolchik",Belarus,Athletics,1
"Frantiek Provaznk",Czechoslovakia,Rowing,1
"Antonio Provenzani Garzoni",Italy,Rowing,1
"Tatyana Petrovna Providokhina (-Fedorenko)","Soviet Union",Athletics,1
"Nicole Anne Louise Provis-Bradtke",Australia,Tennis,1
"Goran Prpi",Croatia,Tennis,1
"Ji Prskavec","Czech Republic",Canoeing,1
"Karl-Heinz Prudhl","East Germany",Rowing,1
"Thomas Prugger",Italy,Snowboarding,1
"Svetlana Anatolyevna Pryakhina","Unified Team",Handball,1
"Viktor Romanovich Pryazhnikov","Soviet Union","Ice Hockey",1
"Oleksiy Viktorovych Pryhorov",Ukraine,Diving,1
"Stanislav Prl",Czechoslovakia,"Ice Hockey",1
"Nadiya Ivanivna Pryshchepa (Derhachenko-, -Bezpalova)","Soviet Union",Rowing,1
"Anna Maria Prytz",Sweden,Curling,1
"Ryszard Stanisaw Przybysz",Poland,Handball,1
"Carl Aage Andersen Prst",Denmark,Football,1
"Jasna Ptujec",Yugoslavia,Handball,1
"Iztok Puc",Yugoslavia,Handball,1
"Iztok Puc",Croatia,Handball,1
"Josephine Pucci","United States","Ice Hockey",1
"Rino Pucci",Italy,Cycling,1
"Alessandro Puccini",Italy,Fencing,1
"Aleksandr Nikolayevich Puchkov","Soviet Union",Athletics,1
"Ivan Pudar",Yugoslavia,Football,1
"Buttree Puedpong",Thailand,Taekwondo,1
"Alejandro Puerto Daz",Cuba,Wrestling,1
"Olha Oleksandrivna Puhovska","Soviet Union",Rowing,1
"Monica Puig Marchn","Puerto Rico",Tennis,1
"Vctor Pujol Sala",Spain,Hockey,1
"Tervel Venkov Pulev",Bulgaria,Boxing,1
"Giuseppe Puli",Italy,"Cross Country Skiing",1
"Dean Lester Pullar",Australia,Diving,1
"Hans Pulver",Switzerland,Football,1
"Angela Pumariega Menndez",Spain,Sailing,1
"Halyna Vasylivna Pundyk",Ukraine,Fencing,1
"Yakiv Hryhorovych Punkin","Soviet Union",Wrestling,1
"Leuris Pupo Requejo",Cuba,Shooting,1
"Tuula Katriina Puputti",Finland,"Ice Hockey",1
"Noel Mary Joseph Purcell","Great Britain","Water Polo",1
"Ralph Kenneth Purchase","United States",Rowing,1
"Prevdorjin Serdamba",Mongolia,Boxing,1
"Pertti Ilmari Purhonen",Finland,Boxing,1
"Eino Alfred Purje (Borg-)",Finland,Athletics,1
"Clyde Honeysett Purnell","Great Britain",Football,1
"Siegfried Purner",Austria,Handball,1
"Kenneth Richard "Ken"" Purpur"","United States","Ice Hockey",1
"Allan Ruggles "Al"" Purvis"",Canada,"Ice Hockey",1
"Daniel Scott Purvis","Great Britain",Gymnastics,1
"Karin Pschel (Kahlow-)","East Germany",Volleyball,1
"Ferenc Pusks (Purczeld-)",Hungary,Football,1
"Rolando Punik",Yugoslavia,Handball,1
"Antonina Mykolavna Pustovit (-Dymova)","Soviet Union",Rowing,1
"Senja Anneli Pusula (-Nuolikivi)",Finland,"Cross Country Skiing",1
"Eduard Ptsep",Estonia,Wrestling,1
"Emiel Adrien "Miel"" Puttemans"",Belgium,Athletics,1
"Jrg Puttlitz","West Germany",Rowing,1
"Vladimir Nikolayevich Putyatov","Soviet Union",Volleyball,1
"Karen Putzer",Italy,"Alpine Skiing",1
"Armand Putzeyse",Belgium,Cycling,1
"Carlos Puyol Saforcada",Spain,Football,1
"Nikolay Vasilyevich Puzanov","Soviet Union",Biathlon,1
"Olga Vasilyevna Puzhevich",Belarus,"Rhythmic Gymnastics",1
"Mirko Puzovi",Yugoslavia,Boxing,1
"Janusz Gerard Pyciak-Peciak",Poland,"Modern Pentathlon",1
"Dana Pyritz",Germany,Rowing,1
"Vladimir Vasilyevich "Vlad"" Pyshnenko"",Russia,Swimming,1
"Olha Iosypivna Pyvovarova","Soviet Union",Rowing,1
"Sergey Nikolayevich Pyzhyanov","Unified Team",Shooting,1
"Elmar Qasmov",Azerbaijan,Judo,1
"Qiao Hong",China-2,"Table Tennis",1
"Qiao Hong",China-1,"Table Tennis",1
"Qiao Yunping",China-2,"Table Tennis",1
"Qieyang Shenjie",China,Athletics,1
"Qin Dongya",China,Judo,1
"Qin Yiyuan",China,Badminton,1
"Qin Yiyuan",China-1,Badminton,1
"Qiu Bo",China,Diving,1
"Qiu Chen",China,Basketball,1
"Qiu Jian",China,Shooting,1
"Qu Yunxia",China,Athletics,1
"Rasmus Christian Quaade",Denmark,Cycling,1
"Ketleyn Lima Quadros",Brazil,Judo,1
"Gerolamo Quaglia",Italy,Wrestling,1
"Ottorino Quaglierini",Italy,Rowing,1
"Kristine Lora Quance (-Julian)","United States",Swimming,1
"Clement Isaac "Ike"" Quartey"",Ghana,Boxing,1
"Pedro Vicente Ernesto Quartucci",Argentina,Boxing,1
"William Francis Patterson "Bill"" Quash"","Upton Park FC",Football,1
"Jan Quast",Germany,Boxing,1
"Theodorus Jacobus Leonardus "Dick"" Quax"","New Zealand",Athletics,1
"Shamo Quaye",Ghana,Football,1
"Elisa Queirolo",Italy,"Water Polo",1
"Samantha Ann "Sam"" Quek"","Great Britain",Hockey,1
"Gilles Qunherv",France,Athletics,1
"Yvan Qunin",France,Basketball,1
"Alejandra Quereda Flores",Spain,"Rhythmic Gymnastics",1
"Henri Louis Rmi Alexandre Thophile Quersin",Belgium,Shooting,1
"Violeta Quesada Daz",Cuba,Athletics,1
"Yoelbi Luis Quesada Fernndez",Cuba,Athletics,1
"Laura Quevedo Caizares",Spain,Basketball,1
"Ren Paul Martial Queyroux",France,Fencing,1
"Martijntje Quik",Netherlands,Rowing,1
"Jos Manuel Gentil Quina",Ma'Lindo,Sailing,1
"Mrio Gentil Quina",Ma'Lindo,Sailing,1
"Frederick "Fred"" Quine"",Australia,Hockey,1
"James Francis "Jimmy"" Quinn"","United States",Athletics,1
"Rebecca Quinn",Canada,Football,1
"Pierre Jean Guy Quinon",France,Athletics,1
"Yandro Miguel Quintana Rivalta",Cuba,Wrestling,1
"Mara Quintanal Zubizarreta",Spain,Shooting,1
"Giulia Quintavalle",Italy,Judo,1
"Ioamnet Quintero lvarez",Cuba,Athletics,1
"Alfredo Paolo Quinteros",Argentina,Basketball,1
"ric Quintin",France,Handball,1
"Carole Louise Quinton (-Barr, -Kibble-White)","Great Britain",Athletics,1
"Jean Quiquampoix",France,Shooting,1
"Alicia Quirk",Australia,"Rugby Sevens",1
"Ral Nicols Quiroga",Argentina,Volleyball,1
"Johanne Maria "Anne-Marie"" Quist (-Boelens)"",Netherlands,Rowing,1
"Arthur Qvist",Norway,Equestrianism,1
"Trine Qvist",Denmark,Curling,1
"Heinz Adolf Raack",Germany,Hockey,1
"Jana Rabasov (-Bartoov)",Czechoslovakia,Gymnastics,1
"Bahne Rabe","West Germany",Rowing,1
"Bahne Rabe",Germany,Rowing,1
"Jan Philipp Rabente",Germany,Hockey,1
"Mohammed Rabii",Morocco,Boxing,1
"Samuel "Sam"" Rabin (Rabinovitch)"","Great Britain",Wrestling,1
"Lubo Raansk",Czechoslovakia,Shooting,1
"Lajos Rcz",Hungary,Wrestling,1
"Vilmos (Wilhelm von) Rcz",Hungary,Athletics,1
"Edi Rada",Austria,"Figure Skating",1
"Helmut Radach",Germany,Rowing,1
"Ljubomir Radanovi",Yugoslavia,Football,1
"Olena Viktorivna Radchenko",Ukraine,Handball,1
"Charlotte Helen Radcliffe","Great Britain",Swimming,1
"Fritz Albert Erich Rademacher",Germany,Swimming,1
"Thomas Peter "Pete"" Rademacher"","United States",Boxing,1
"Petar Radenkovi",Yugoslavia,Football,1
"Eric Radford",Canada,"Figure Skating",1
"Alberto Radi",Italy,Rowing,1
"Federica Radicchi",Italy,"Water Polo",1
"Jovanka "Jova"" Radievi"",Montenegro,Handball,1
"Libor Radimec",Czechoslovakia,Football,1
"Ihor Vitaliyovych Radivilov",Ukraine,Gymnastics,1
"Karoline "Lina"" Radke-Batschauer"",Germany,Athletics,1
"Kostadinka Ivanova Radkova",Bulgaria,Basketball,1
"Paolo Francesco "Paul""  Radmilovic"","Great Britain",Swimming,1
"Tamara Radoaj",Serbia,Basketball,1
"Birgit Radochla (-Michailoff)",Germany,Gymnastics,1
"Yury Mikhaylovich Radonyak","Soviet Union",Boxing,1
"Ana Radovi",Montenegro,Handball,1
"Nikola Radovi",Yugoslavia,Football,1
"Vesna Radovi",Yugoslavia,Handball,1
"Karl-Heinz Radschinsky","West Germany",Weightlifting,1
"Elena Radu",Romania,Canoeing,1
"Gelu Radu",Romania,Weightlifting,1
"Miroslav Raduljica",Serbia,Basketball,1
"Nikola Radulovic",Italy,Basketball,1
"Zdravko Radulovi",Yugoslavia,Basketball,1
"Bojana Radulovics",Hungary,Handball,1
"Nadezhda Borisovna Radzevich (Zezyulya-)","Soviet Union",Volleyball,1
"Heinz Radzikowski",Germany,Hockey,1
"Rafael Pereira da Silva",Brazil,Football,1
"Hansjrg Raffl",Italy-1,Luge,1
"Hansjrg Raffl",Italy-2,Luge,1
"Mrcio Rafael "Rafinha"" Ferreira de Souza"",Brazil,Football,1
"Rafael Alcntara do Nascimento",Brazil,Football,1
"Jack Williamson Ragland","United States",Basketball,1
"Jrgen Thord Ragnarsson",Sweden,Sailing,1
"Elio Ragni",Italy,Athletics,1
"Adolphe Gaston Ragueneau","Racing Club de France",Athletics,1
"Nunzia Cinzia Ragusa",Italy,"Water Polo",1
"Hassan Sabzali Rahimi",Iran,Wrestling,1
"Rustamhodza "Rustam"" Rahimov"",Germany,Boxing,1
"John B. Rahm","United States Golf Association-3",Golf,1
"Inam-ur Rahman",India,Hockey,1
"Oli Rahman",Ghana,Football,1
"Pamela Leila "Pam"" Rai"",Canada,Swimming,1
"Iulian Raicea",Romania,Shooting,1
"Oksana Mykolavna Raikhel",Ukraine,Handball,1
"Ville Antti Rikknen",Finland,Biathlon,1
"Zachary Scott "Zach"" Railey"","United States",Sailing,1
"Johan Einar "Eino"" Railio (Dahlgren-)"",Finland,Gymnastics,1
"Guillaume Louis  Benoit Raineau",France,Rowing,1
"Allar Raja",Estonia,Rowing,1
"Muniswamy Rajagopal",India,Hockey,1
"Annina Rajahuhta",Finland,"Ice Hockey",1
"Imre Rajczy (Rasztovich-)",Hungary,Fencing,1
"Trajko Rajkovi",Yugoslavia,Basketball,1
"Andrs Rajna",Hungary,Canoeing,1
"Kiril Manolov Rakarov",Bulgaria,Football,1
"Heidi Maria Hubertina Rakels",Belgium,Judo,1
